Date,SKU,MAE
2025-07-10,OUTD-003,1.3143
2025-07-10,BABY-001,1.6905
2025-07-10,BABY-003,1.9238
2025-07-10,OUTD-001,1.3
2025-07-10,OFFC-003,1.1
2025-07-10,BEAU-001,1.481
2025-07-10,OFFC-002,1.4952
2025-07-10,OFFC-001,1.0714
2025-07-10,BEAU-002,1.3571
2025-07-10,OUTD-002,1.4571
2025-07-10,MUSC-003,1.719
2025-07-10,PETS-002,1.6143
2025-07-10,AUTO-003,1.4952
2025-07-10,APPL-002,1.4333
2025-07-10,TOYS-001,1.2667
2025-07-10,TOOL-003,1.7429
2025-07-10,APPL-003,1.3952
2025-07-10,TOOL-002,1.6095
2025-07-10,TOOL-001,0.9714
2025-07-10,PETS-003,1.4524
2025-07-10,SPRT-003,1.8714
2025-07-10,SPRT-002,1.3286
2025-07-10,SPRT-001,1.3571
2025-07-10,AUTO-002,1.519
2025-07-10,SOFT-003,1.7429
2025-07-10,SOFT-002,0.9952
2025-07-10,SOFT-001,1.4143
2025-07-10,AUTO-001,1.0143
2025-07-10,TOYS-002,0.9857
2025-07-10,MUSC-002,1.819
2025-07-10,BEAU-003,1.0952
2025-07-10,GROC-002,1.781
2025-07-10,GROC-001,1.0762
2025-07-10,CLTH-003,1.0
2025-07-10,GRDN-003,1.4429
2025-07-10,GRDN-002,1.1857
2025-07-10,DIY0-001,0.9333
2025-07-10,GROC-003,1.9524
2025-07-10,GRDN-001,1.7905
2025-07-10,FURN-002,1.4524
2025-07-10,DIY0-002,1.3286
2025-07-10,FURN-001,1.0524
2025-07-10,ELEC-003,1.1143
2025-07-10,DIY0-003,1.4143
2025-07-10,ELEC-002,0.9857
2025-07-10,FURN-003,2.0286
2025-07-10,MUSC-001,1.4048
2025-07-10,CLTH-002,0.5714
2025-07-10,HLTH-002,1.6571
2025-07-10,MOVI-003,1.4429
2025-07-10,MOVI-002,1.3143
2025-07-10,BOOK-001,1.0619
2025-07-10,MOVI-001,1.0619
2025-07-10,JWLY-003,1.5905
2025-07-10,JWLY-002,1.4095
2025-07-10,HLTH-001,1.8
2025-07-10,BOOK-002,1.4
2025-07-10,HOMK-003,1.3095
2025-07-10,BOOK-003,1.6429
2025-07-10,HOMK-002,1.9857
2025-07-10,HOMK-001,0.7286
2025-07-10,JWLY-001,1.4143
2025-07-10,TOYS-003,1.319
2025-07-10,ELEC-001,1.0048
2025-07-11,APPL-001,1.619
2025-07-11,PETS-001,1.8238
2025-07-11,PCAR-003,1.3429
2025-07-11,PCAR-002,1.2095
2025-07-11,BABY-002,1.6143
2025-07-11,PCAR-001,1.6286
2025-07-11,OUTD-003,1.4
2025-07-11,BABY-001,1.319
2025-07-11,BABY-003,1.6381
2025-07-11,OUTD-001,1.4048
2025-07-11,OFFC-003,1.119
2025-07-11,BEAU-001,1.4952
2025-07-11,OFFC-002,1.3524
2025-07-11,OFFC-001,1.2
2025-07-11,BEAU-002,1.2095
2025-07-11,OUTD-002,1.5429
2025-07-11,MUSC-003,1.8667
2025-07-11,PETS-002,1.4476
2025-07-11,AUTO-003,1.3429
2025-07-11,APPL-002,1.1619
2025-07-11,TOYS-001,1.3095
2025-07-11,TOOL-003,1.8286
2025-07-11,APPL-003,1.5905
2025-07-11,TOOL-002,1.6095
2025-07-11,TOOL-001,0.7857
2025-07-11,PETS-003,1.2667
2025-07-11,SPRT-003,1.919
2025-07-11,SPRT-002,1.4429
2025-07-11,SPRT-001,1.3381
2025-07-11,AUTO-002,1.5381
2025-07-11,SOFT-003,1.7381
2025-07-11,SOFT-002,1.0238
2025-07-11,SOFT-001,1.1667
2025-07-11,AUTO-001,1.0143
2025-07-11,TOYS-002,0.9762
2025-07-11,MUSC-002,1.9857
2025-07-11,BEAU-003,1.2286
